year_of_death;code;age;sex;disease;number_of_death
1979-2021;01;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;22
1979-2021;02;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;47
1979-2021;03;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;20
1979-2021;04;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;6
1979-2021;05;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;2
1979-2021;06;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;07;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;9
1979-2021;08;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;13
1979-2021;09;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;10
1979-2021;10;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;19
1979-2021;11;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;12
1979-2021;12;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;7
1979-2021;13;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;96
1979-2021;14;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;37
1979-2021;15;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;10
1979-2021;16;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;16
1979-2021;17;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;24
1979-2021;18;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;11
1979-2021;19;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;6
1979-2021;21;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;24
1979-2021;22;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;23
1979-2021;23;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;2
1979-2021;24;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;14
1979-2021;25;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;36
1979-2021;26;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;23
1979-2021;27;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;26
1979-2021;28;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;29;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;2A;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;4
1979-2021;2B;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;5
1979-2021;30;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;30
1979-2021;31;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;30
1979-2021;32;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;7
1979-2021;33;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;69
1979-2021;34;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;52
1979-2021;35;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;53
1979-2021;36;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;37;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;24
1979-2021;38;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;46
1979-2021;39;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;11
1979-2021;40;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;18
1979-2021;41;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;12
1979-2021;42;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;37
1979-2021;43;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;5
1979-2021;44;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;45;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;37
1979-2021;46;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;3
1979-2021;47;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;8
1979-2021;48;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;1
1979-2021;49;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;42
1979-2021;50;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;18
1979-2021;51;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;34
1979-2021;52;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;17
1979-2021;53;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;19
1979-2021;54;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;31
1979-2021;55;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;8
1979-2021;56;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;21
1979-2021;57;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;59
1979-2021;58;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;8
1979-2021;59;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;242
1979-2021;60;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;52
1979-2021;61;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;16
1979-2021;62;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;103
1979-2021;63;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;29
1979-2021;64;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;16
1979-2021;65;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;11
1979-2021;66;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;17
1979-2021;67;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;74
1979-2021;68;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;45
1979-2021;69;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;76
1979-2021;70;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;71;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;35
1979-2021;72;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;25
1979-2021;73;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;74;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;31
1979-2021;75;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;177
1979-2021;76;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;75
1979-2021;77;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;74
1979-2021;78;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;97
1979-2021;79;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;20
1979-2021;80;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;46
1979-2021;81;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;8
1979-2021;82;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;4
1979-2021;83;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;39
1979-2021;84;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;27
1979-2021;85;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;17
1979-2021;86;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;21
1979-2021;87;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;88;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;20
1979-2021;89;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;13
1979-2021;90;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;6
1979-2021;91;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;65
1979-2021;92;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;91
1979-2021;93;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;142
1979-2021;94;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;89
1979-2021;95;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;74
1979-2021;971;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;22
1979-2021;972;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;11
1979-2021;973;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;50
1979-2021;974;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;36
1979-2021;976;< 1;Tous sexes;1. Maladies infectieuses et parasitaires;28
1979-2021;01;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;44
1979-2021;02;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;54
1979-2021;03;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;25
1979-2021;04;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;13
1979-2021;05;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;11
1979-2021;06;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;174
1979-2021;07;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;28
1979-2021;08;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;33
1979-2021;09;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;6
1979-2021;10;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;27
1979-2021;11;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;21
1979-2021;12;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;16
1979-2021;13;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;233
1979-2021;14;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;44
1979-2021;15;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;8
1979-2021;16;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;18
1979-2021;17;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;53
1979-2021;18;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;33
1979-2021;19;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;23
1979-2021;21;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;42
1979-2021;22;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;48
1979-2021;23;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;7
1979-2021;24;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;30
1979-2021;25;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;46
1979-2021;26;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;32
1979-2021;27;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;62
1979-2021;28;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;29;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;58
1979-2021;2A;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;4
1979-2021;2B;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;20
1979-2021;30;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;53
1979-2021;31;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;73
1979-2021;32;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;9
1979-2021;33;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;146
1979-2021;34;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;98
1979-2021;35;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;79
1979-2021;36;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;10
1979-2021;37;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;48
1979-2021;38;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;101
1979-2021;39;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;19
1979-2021;40;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;28
1979-2021;41;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;21
1979-2021;42;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;68
1979-2021;43;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;17
1979-2021;44;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;87
1979-2021;45;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;66
1979-2021;46;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;9
1979-2021;47;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;37
1979-2021;48;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;8
1979-2021;49;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;59
1979-2021;50;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;41
1979-2021;51;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;56
1979-2021;52;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;53;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;23
1979-2021;54;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;57
1979-2021;55;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;26
1979-2021;56;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;58
1979-2021;57;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;109
1979-2021;58;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;24
1979-2021;59;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;285
1979-2021;60;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;73
1979-2021;61;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;22
1979-2021;62;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;151
1979-2021;63;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;48
1979-2021;64;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;41
1979-2021;65;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;66;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;42
1979-2021;67;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;84
1979-2021;68;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;61
1979-2021;69;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;146
1979-2021;70;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;21
1979-2021;71;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;44
1979-2021;72;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;47
1979-2021;73;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;27
1979-2021;74;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;58
1979-2021;75;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;297
1979-2021;76;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;116
1979-2021;77;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;149
1979-2021;78;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;164
1979-2021;79;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;33
1979-2021;80;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;74
1979-2021;81;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;26
1979-2021;82;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;83;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;90
1979-2021;84;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;45
1979-2021;85;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;33
1979-2021;86;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;32
1979-2021;87;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;26
1979-2021;88;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;32
1979-2021;89;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;34
1979-2021;90;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;12
1979-2021;91;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;122
1979-2021;92;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;174
1979-2021;93;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;238
1979-2021;94;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;151
1979-2021;95;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;151
1979-2021;971;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;28
1979-2021;972;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;27
1979-2021;973;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;76
1979-2021;974;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;56
1979-2021;976;1-24;Tous sexes;1. Maladies infectieuses et parasitaires;29
1979-2021;01;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;56
1979-2021;02;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;59
1979-2021;03;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;47
1979-2021;04;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;40
1979-2021;05;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;42
1979-2021;06;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;1113
1979-2021;07;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;29
1979-2021;08;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;28
1979-2021;09;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;24
1979-2021;10;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;57
1979-2021;11;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;69
1979-2021;12;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;17
1979-2021;13;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;1046
1979-2021;14;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;99
1979-2021;15;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;12
1979-2021;16;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;48
1979-2021;17;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;121
1979-2021;18;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;46
1979-2021;19;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;46
1979-2021;21;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;90
1979-2021;22;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;81
1979-2021;23;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;18
1979-2021;24;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;100
1979-2021;25;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;63
1979-2021;26;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;59
1979-2021;27;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;99
1979-2021;28;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;69
1979-2021;29;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;131
1979-2021;2A;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;36
1979-2021;2B;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;66
1979-2021;30;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;154
1979-2021;31;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;279
1979-2021;32;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;20
1979-2021;33;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;476
1979-2021;34;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;286
1979-2021;35;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;128
1979-2021;36;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;34
1979-2021;37;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;93
1979-2021;38;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;154
1979-2021;39;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;18
1979-2021;40;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;66
1979-2021;41;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;42
1979-2021;42;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;83
1979-2021;43;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;17
1979-2021;44;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;229
1979-2021;45;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;91
1979-2021;46;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;31
1979-2021;47;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;76
1979-2021;48;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;10
1979-2021;49;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;98
1979-2021;50;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;44
1979-2021;51;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;89
1979-2021;52;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;31
1979-2021;53;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;27
1979-2021;54;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;104
1979-2021;55;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;22
1979-2021;56;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;92
1979-2021;57;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;110
1979-2021;58;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;19
1979-2021;59;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;310
1979-2021;60;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;133
1979-2021;61;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;36
1979-2021;62;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;161
1979-2021;63;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;70
1979-2021;64;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;161
1979-2021;65;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;52
1979-2021;66;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;109
1979-2021;67;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;162
1979-2021;68;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;99
1979-2021;69;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;297
1979-2021;70;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;29
1979-2021;71;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;65
1979-2021;72;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;66
1979-2021;73;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;41
1979-2021;74;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;145
1979-2021;75;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;2660
1979-2021;76;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;180
1979-2021;77;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;358
1979-2021;78;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;426
1979-2021;79;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;38
1979-2021;80;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;77
1979-2021;81;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;45
1979-2021;82;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;53
1979-2021;83;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;326
1979-2021;84;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;165
1979-2021;85;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;69
1979-2021;86;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;60
1979-2021;87;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;54
1979-2021;88;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;89;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;54
1979-2021;90;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;15
1979-2021;91;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;413
1979-2021;92;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;861
1979-2021;93;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;1145
1979-2021;94;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;802
1979-2021;95;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;469
1979-2021;971;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;50
1979-2021;972;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;38
1979-2021;973;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;91
1979-2021;974;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;50
1979-2021;976;25-34;Tous sexes;1. Maladies infectieuses et parasitaires;22
1979-2021;01;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;89
1979-2021;02;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;114
1979-2021;03;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;66
1979-2021;04;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;57
1979-2021;05;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;54
1979-2021;06;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;1127
1979-2021;07;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;08;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;55
1979-2021;09;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;10;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;78
1979-2021;11;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;122
1979-2021;12;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;41
1979-2021;13;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;1192
1979-2021;14;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;143
1979-2021;15;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;27
1979-2021;16;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;74
1979-2021;17;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;159
1979-2021;18;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;64
1979-2021;19;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;62
1979-2021;21;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;94
1979-2021;22;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;104
1979-2021;23;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;30
1979-2021;24;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;105
1979-2021;25;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;109
1979-2021;26;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;93
1979-2021;27;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;151
1979-2021;28;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;100
1979-2021;29;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;195
1979-2021;2A;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;43
1979-2021;2B;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;73
1979-2021;30;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;260
1979-2021;31;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;384
1979-2021;32;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;42
1979-2021;33;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;632
1979-2021;34;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;442
1979-2021;35;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;178
1979-2021;36;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;63
1979-2021;37;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;140
1979-2021;38;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;204
1979-2021;39;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;52
1979-2021;40;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;112
1979-2021;41;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;79
1979-2021;42;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;159
1979-2021;43;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;42
1979-2021;44;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;305
1979-2021;45;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;164
1979-2021;46;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;37
1979-2021;47;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;78
1979-2021;48;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;18
1979-2021;49;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;134
1979-2021;50;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;97
1979-2021;51;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;136
1979-2021;52;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;48
1979-2021;53;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;46
1979-2021;54;35-44;Tous sexes;1. Maladies infectieuses et parasitaires;169
